line,hour,count
1,0,241
1,1,195
1,2,134
1,3,86
1,4,81
1,5,96
1,6,177
1,7,190
1,8,264
1,9,338
1,10,336
1,11,396
1,12,431
1,13,363
1,14,449
1,15,400
1,16,381
1,17,410
1,18,502
1,19,490
1,20,376
1,21,358
1,22,356
1,23,288
2,0,67
2,1,63
2,2,39
2,3,36
2,4,36
2,5,42
2,6,56
2,7,70
2,8,61
2,9,73
2,10,71
2,11,99
2,12,99
2,13,67
2,14,88
2,15,74
2,16,68
2,17,72
2,18,90
2,19,99
2,20,78
2,21,84
2,22,84
2,23,70
3,0,68
3,1,58
3,2,39
3,3,35
3,4,36
3,5,41
3,6,57
3,7,70
3,8,63
3,9,73
3,10,74
3,11,97
3,12,98
3,13,67
3,14,86
3,15,73
3,16,66
3,17,72
3,18,89
3,19,100
3,20,77
3,21,86
3,22,83
3,23,70
4,0,46
4,1,24
4,2,22
4,3,9
4,4,7
4,5,18
4,6,22
4,7,24
4,8,60
4,9,64
4,10,80
4,11,96
4,12,73
4,13,96
4,14,96
4,15,84
4,16,80
4,17,60
4,18,68
4,19,60
4,20,46
4,21,44
4,22,33
4,23,37
5,0,39
5,1,19
5,2,16
5,3,5
5,4,6
5,5,17
5,6,22
5,7,19
5,8,52
5,9,48
5,10,59
5,11,79
5,12,59
5,13,83
5,14,85
5,15,74
5,16,74
5,17,50
5,18,57
5,19,52
5,20,39
5,21,41
5,22,30
5,23,35
6,0,171
6,1,111
6,2,87
6,3,51
6,4,46
6,5,68
6,6,187
6,7,197
6,8,281
6,9,313
6,10,390
6,11,441
6,12,419
6,13,373
6,14,392
6,15,366
6,16,331
6,17,384
6,18,416
6,19,362
6,20,309
6,21,283
6,22,243
6,23,243
7,0,25
7,1,29
7,2,27
7,3,19
7,4,15
7,5,11
7,6,22
7,7,54
7,8,46
7,9,50
7,10,43
7,11,62
7,12,52
7,13,48
7,14,44
7,15,44
7,16,29
7,17,31
7,18,24
7,19,23
7,20,18
7,21,30
7,22,31
7,23,22
A,0,188
A,1,127
A,2,113
A,3,83
A,4,84
A,5,59
A,6,120
A,7,156
A,8,157
A,9,220
A,10,191
A,11,248
A,12,237
A,13,262
A,14,218
A,15,260
A,16,225
A,17,201
A,18,252
A,19,229
A,20,220
A,21,206
A,22,174
A,23,191
C,6,215
C,7,255
C,8,270
C,9,416
C,10,418
C,11,488
C,12,482
C,13,566
C,14,459
C,15,520
C,16,424
C,17,423
C,18,556
C,19,461
C,20,424
C,21,409
C,22,351
C,23,322
D,0,105
D,1,73
D,2,55
D,3,31
D,4,33
D,5,52
D,6,60
D,7,74
D,8,78
D,9,159
D,10,176
D,11,220
D,12,212
D,13,243
D,14,224
D,15,213
D,16,199
D,17,168
D,18,217
D,19,186
D,20,147
D,21,141
D,22,100
D,23,124
E,0,246
E,1,173
E,2,137
E,3,85
E,4,78
E,5,105
E,6,180
E,7,206
E,8,221
E,9,320
E,10,304
E,11,334
E,12,343
E,13,414
E,14,320
E,15,317
E,16,324
E,17,339
E,18,452
E,19,393
E,20,352
E,21,343
E,22,296
E,23,265
F,0,186
F,1,157
F,2,91
F,3,73
F,4,61
F,5,93
F,6,137
F,7,167
F,8,181
F,9,299
F,10,294
F,11,359
F,12,359
F,13,389
F,14,394
F,15,336
F,16,325
F,17,299
F,18,358
